Gr_Liv_Area;Year_Built;Overall_Qual;Foundation;Total_Bsmt_SF;Mas_Vnr_Type;Lot_Area;Garage_Cars;Sale_Price
2622;1994;Very_Good;PConc;1463;BrkFace;12256;2;325000
2270;1999;Very_Good;PConc;1152;BrkFace;11764;3;290000
1839;1998;Good;PConc;1195;BrkFace;16770;2;221000
3238;1995;Very_Good;PConc;2033;BrkFace;14720;3;410000
1595;2005;Very_Good;PConc;1595;BrkFace;8987;3;221500
1218;2009;Good;PConc;1218;None;9215;2;204500
1547;2009;Good;PConc;756;None;8640;2;215200
1566;2008;Very_Good;PConc;1566;Stone;9000;2;262500
1947;2004;Good;PConc;991;None;12552;2;254900
1468;2005;Above_Average;PConc;1468;None;10440;2;271500
2084;2004;Good;PConc;956;None;10142;2;233000
1659;2004;Good;PConc;831;BrkFace;11920;2;181000
2110;1994;Good;PConc;948;None;8880;2;205000
923;1980;Above_Average;CBlock;923;None;8012;1;143000
1845;1992;Above_Average;PConc;1055;None;11218;2;189000
918;1979;Above_Average;CBlock;918;None;7892;1;99500
752;1984;Above_Average;CBlock;744;None;7175;1;125000
1744;1993;Good;PConc;996;None;9453;2;194500
1097;1984;Above_Average;PConc;1040;None;9672;2;152000
1564;1980;Above_Average;CBlock;650;BrkFace;8400;2;171000
1012;1920;Average;BrkTil;816;None;9800;1;67500
1902;1978;Above_Average;Slab;0;None;8930;2;112000
1155;1961;Average;CBlock;1109;None;11782;2;148000
894;1965;Average;CBlock;894;None;8450;1;138500
900;1967;Average;CBlock;882;BrkFace;9819;1;122000
1040;1963;Average;CBlock;1040;None;7500;1;133000
1040;1962;Average;CBlock;1040;None;6897;1;127000
1494;1974;Above_Average;CBlock;1208;BrkCmn;15410;2;169000
1923;1992;Good;PConc;750;None;10186;2;190000
2349;1993;Very_Good;PConc;1231;BrkFace;13143;3;362500
2225;1992;Very_Good;PConc;1390;BrkFace;11134;3;285000
1488;2004;Good;PConc;1488;None;4835;2;260000
1680;2004;Good;PConc;840;None;3515;2;190000
1200;2004;Good;PConc;600;BrkFace;3215;2;155000
1200;2004;Good;PConc;600;None;3182;2;151000
1200;2004;Good;PConc;600;None;2544;2;149500
1236;2005;Above_Average;PConc;600;BrkFace;2544;2;152000
1478;2009;Good;PConc;1470;Stone;4403;2;222000
1573;2000;Above_Average;PConc;756;BrkFace;2117;2;177500
1512;2000;Above_Average;PConc;756;BrkFace;2980;2;177000
1416;1999;Good;PConc;696;None;2572;2;155000
1080;2003;Good;PConc;530;None;2403;2;147110
1418;2010;Very_Good;PConc;1642;None;12853;3;267916
1848;2000;Very_Good;PConc;975;None;7379;2;254000
788;1980;Very_Good;CBlock;728;None;4420;2;155000
1226;1978;Very_Good;CBlock;1226;None;3880;2;206000
1479;1976;Above_Average;CBlock;725;BrkFace;13517;2;130500
1492;2002;Good;PConc;1492;None;8000;2;230000
1829;1967;Above_Average;CBlock;1829;BrkFace;10456;2;218500
2495;1993;Above_Average;PConc;1280;None;10791;2;243500
1610;1977;Above_Average;PConc;1610;BrkFace;10603;2;205000
1891;1978;Above_Average;PConc;1224;None;18837;2;212500
1714;1988;Good;CBlock;980;BrkFace;10421;2;196500
1381;1972;Above_Average;CBlock;1161;None;9360;2;197500
1645;1971;Above_Average;CBlock;715;None;9600;2;171000
1232;1966;Average;CBlock;1232;BrkFace;9600;2;142250
1328;1963;Above_Average;CBlock;1328;BrkFace;9790;2;143000
1225;1959;Below_Average;CBlock;950;None;9320;0;128950
1209;1966;Average;PConc;1209;None;9900;2;159000
1510;1967;Average;CBlock;1510;BrkFace;9680;2;178900
1775;1964;Above_Average;CBlock;533;None;10600;2;136300
1152;1964;Average;PConc;1152;BrkFace;14112;2;180500
1054;1963;Above_Average;PConc;936;BrkFace;8800;2;137500
1728;1962;Average;CBlock;1728;BrkFace;13260;0;84900
1078;1950;Average;CBlock;1078;None;9717;1;142125
2461;1952;Average;CBlock;1140;BrkFace;9724;2;197600
1556;1949;Above_Average;CBlock;782;Stone;17360;2;172500
858;1958;Average;CBlock;858;None;7207;0;116500
1306;1940;Fair;CBlock;728;None;5350;0;76500
1063;1954;Average;CBlock;1056;Stone;9920;1;128000
1520;1955;Above_Average;CBlock;1156;BrkFace;9600;1;153000
1268;1954;Average;PConc;1268;BrkFace;7800;1;132000
1128;1966;Above_Average;CBlock;1080;BrkFace;11380;1;178000
2274;1960;Average;CBlock;1105;BrkFace;11600;2;154300
2207;1970;Good;CBlock;1947;BrkFace;19900;2;180000
1888;1966;Above_Average;CBlock;1517;None;16492;2;190000
1604;1958;Average;CBlock;1604;None;8267;2;135000
1480;2003;Good;PConc;1480;BrkFace;8197;2;214000
1143;1959;Average;CBlock;1143;BrkFace;8050;1;136000
1700;1959;Average;CBlock;1398;None;10552;2;165500
1314;1957;Average;CBlock;1314;None;8400;1;145000
1194;1959;Above_Average;CBlock;1194;BrkFace;8760;1;148000
1188;1959;Average;CBlock;1188;BrkFace;12160;2;142000
1264;1960;Average;CBlock;1268;BrkFace;9300;2;167500
1206;1959;Average;CBlock;1206;BrkFace;10725;1;108538
1580;1959;Above_Average;CBlock;1244;Stone;10032;2;159500
1337;1956;Below_Average;CBlock;832;None;8382;1;108000
1064;1952;Average;CBlock;864;None;10950;1;135000
972;1955;Average;CBlock;972;None;10895;1;122500
988;1958;Average;CBlock;988;None;13587;1;119000
1057;1953;Average;CBlock;1057;None;7922;1;109000
985;1920;Below_Average;BrkTil;576;None;7898;2;105000
827;1955;Average;Slab;0;None;7200;1;107500
1086;1954;Average;CBlock;1086;BrkFace;10200;2;144900
936;1956;Average;CBlock;936;None;5868;1;129000
1458;1948;Above_Average;CBlock;912;None;17503;1;97500
1056;1980;Above_Average;CBlock;1056;None;6979;2;144000
1287;1959;Average;CBlock;1063;None;9830;2;162000
2978;1967;Good;CBlock;710;BrkFace;11275;2;242000
1224;1948;Above_Average;CBlock;816;None;8064;1;132000
1246;1959;Average;CBlock;1246;None;7500;1;154000
1385;1952;Average;CBlock;910;None;8520;2;166000
900;1951;Average;CBlock;900;None;7200;2;134800
1116;1962;Above_Average;CBlock;1116;BrkFace;10000;2;160000
1175;1960;Average;CBlock;1175;None;7635;2;148000
1395;1963;Above_Average;CBlock;1395;BrkFace;9760;2;192000
1839;1966;Above_Average;CBlock;756;BrkFace;7700;2;155000
1844;1900;Below_Average;PConc;709;BrkFace;4800;1;80400
1140;1910;Below_Average;BrkTil;576;None;8800;0;96500
936;1920;Average;PConc;936;None;4485;0;109500
1028;1927;Average;CBlock;1008;None;8960;2;115000
1347;1957;Average;CBlock;1347;None;5805;2;143000
1605;1915;Fair;CBlock;840;None;5790;1;107400
747;1945;Below_Average;CBlock;747;None;4608;1;80000
804;1940;Average;CBlock;788;Stone;7200;1;119000
1316;1929;Average;BrkTil;926;None;5500;2;130000
1251;1938;Above_Average;PConc;827;None;6900;1;119000
1633;1948;Average;BrkTil;1027;None;11851;1;129000
1245;1920;Average;BrkTil;1008;None;8239;1;100000
832;1923;Poor;BrkTil;678;None;9656;2;12789
720;1928;Above_Average;BrkTil;624;None;8520;2;105900
1566;1900;Very_Good;BrkTil;930;None;9600;1;150000
1652;1915;Average;PConc;686;None;10800;1;139000
2268;1890;Very_Good;Stone;346;None;9000;2;240000
2256;1910;Average;BrkTil;840;None;9045;0;76500
1236;1957;Above_Average;CBlock;912;None;7407;2;149700
1363;1910;Below_Average;CBlock;622;None;7740;2;125500
2290;1885;Below_Average;PConc;777;None;11340;2;122500
1470;1922;Above_Average;CBlock;738;None;10560;2;140750
1612;1950;Average;CBlock;988;None;5830;1;128500
2068;1922;Good;BrkTil;1108;None;7793;1;209500
765;1925;Below_Average;BrkTil;765;None;5000;1;87000
1132;1939;Above_Average;BrkTil;608;None;6000;1;134000
1196;1940;Above_Average;CBlock;572;None;6000;2;128000
1453;1942;Average;CBlock;835;Stone;6360;1;132000
1416;1948;Above_Average;CBlock;780;None;6000;1;139900
1040;1936;Average;CBlock;528;None;6240;2;123900
1536;1930;Average;BrkTil;928;None;6240;2;138400
1068;1923;Above_Average;BrkTil;1124;None;6120;1;109500
1710;1921;Good;BrkTil;576;None;10300;2;140000
1962;1915;Below_Average;CBlock;888;None;8094;2;149500
1560;1912;Above_Average;PConc;780;None;12900;0;159900
1324;1920;Above_Average;BrkTil;662;None;3068;1;122000
816;1963;Average;CBlock;816;None;8472;2;110000
1092;1930;Below_Average;Slab;0;None;5600;0;55000
1812;1900;Average;BrkTil;360;None;7630;2;140000
2403;1940;Good;CBlock;1032;None;24090;1;244400
1675;1959;Average;CBlock;1422;BrkFace;15263;1;173000
1224;1917;Average;BrkTil;689;None;10632;1;107500
1392;1915;Average;BrkTil;1212;None;9900;0;100000
919;1940;Above_Average;CBlock;600;None;6001;1;95000
1884;1907;Below_Average;CBlock;707;None;6449;0;93369
1680;1910;Average;BrkTil;856;None;6048;2;114900
1020;1875;Average;CBlock;780;None;6342;0;94000
1832;1967;Below_Average;CBlock;1832;BrkFace;10773;0;136000
1768;1968;Below_Average;CBlock;1768;None;10778;0;136500
1039;1965;Average;PConc;1039;None;11625;2;131500
1392;1957;Average;CBlock;1392;BrkFace;11341;2;121500
912;1967;Average;CBlock;912;None;8521;1;125000
1060;1968;Average;CBlock;1060;None;8246;1;154000
892;1966;Average;CBlock;864;BrkFace;7800;1;137900
1352;1969;Above_Average;CBlock;663;Stone;9364;1;158000
864;1968;Average;CBlock;864;None;7832;1;137250
1373;1978;Average;CBlock;1319;None;7424;2;160250
1440;1968;Average;CBlock;720;None;11227;2;163000
1386;1978;Above_Average;CBlock;672;BrkCmn;11616;2;158900
2260;1996;Good;PConc;1306;None;14000;2;328000
1483;1977;Good;CBlock;1420;None;20062;2;270000
756;1927;Below_Average;BrkTil;660;None;9259;2;85000
1067;1950;Below_Average;CBlock;1067;None;9600;2;128000
1524;1979;Good;PConc;1332;None;23595;2;260000
1981;1978;Above_Average;PConc;1117;BrkFace;17082;2;230000
1610;1938;Fair;CBlock;972;None;18600;1;124000
835;1920;Average;BrkTil;458;None;10625;1;83000
1074;1950;Above_Average;CBlock;663;None;11479;1;144500
1144;1956;Average;CBlock;1144;None;9571;1;129000
1531;1947;Below_Average;CBlock;756;None;9350;1;127000
1172;1954;Average;CBlock;1172;None;9525;1;128000
1212;2009;Above_Average;PConc;1212;None;10420;2;186000
1508;2009;Good;PConc;1508;Stone;17485;2;308030
1298;1964;Average;CBlock;1250;None;11200;2;114000
930;1946;Below_Average;CBlock;0;None;11100;1;84900
1732;1985;Above_Average;CBlock;741;BrkFace;9206;2;178000
1433;1987;Good;CBlock;1433;BrkFace;11980;2;270000
1802;1993;Above_Average;PConc;946;BrkFace;12361;4;218000
1949;1993;Good;PConc;1050;BrkFace;9938;2;236000
996;1992;Above_Average;PConc;936;None;9069;2;147000
1694;2008;Very_Good;PConc;1694;Stone;10475;3;245350
1208;2006;Good;PConc;1187;Stone;6762;2;206000
1226;2009;Good;PConc;1226;None;10402;3;198900
1222;2010;Good;PConc;1222;Stone;7360;2;187000
3222;1990;Good;PConc;1673;None;12376;3;320000
1445;1900;Above_Average;PConc;676;None;14235;2;138500
1052;1971;Above_Average;CBlock;1010;BrkFace;8816;2;155000
965;1996;Average;PConc;870;None;11105;2;159000
1692;1997;Good;PConc;878;None;9337;2;191000
1682;1998;Above_Average;PConc;804;BrkFace;8750;2;200500
1026;1977;Average;CBlock;1026;None;15240;1;150000
1392;1977;Above_Average;CBlock;689;BrkFace;10900;1;161750
894;1976;Average;CBlock;894;None;10650;1;128200
876;1972;Average;CBlock;876;None;7480;2;127000
1978;2003;Very_Good;PConc;1978;BrkFace;10389;3;318000
1601;2001;Very_Good;PConc;1581;BrkFace;11423;2;272000
1829;2003;Good;PConc;941;BrkFace;9548;2;237000
2098;1997;Good;PConc;1040;None;9375;2;240000
1661;1998;Good;PConc;1649;BrkFace;12137;2;224900
848;2003;Above_Average;PConc;848;BrkFace;4435;2;143750
848;2004;Above_Average;PConc;848;BrkFace;4426;2;143000
1668;2003;Very_Good;PConc;1657;BrkFace;10635;2;232000
1484;2004;Good;PConc;1473;BrkFace;8400;2;213000
1414;2004;Good;PConc;1414;BrkFace;8773;2;185500
640;1945;Fair;CBlock;0;None;8777;1;84900
992;1954;Average;CBlock;381;None;8842;1;155891
1664;1965;Average;CBlock;0;None;9825;0;100000
1196;1968;Average;CBlock;1196;None;10044;1;144000
1120;1948;Below_Average;CBlock;744;None;11792;2;64000
1096;1975;Above_Average;CBlock;1008;None;6305;1;125200
1117;1976;Above_Average;CBlock;1029;None;7819;2;107000
960;1958;Below_Average;CBlock;960;None;6410;0;90000
1121;2003;Below_Average;PConc;1121;None;8546;2;140000
1487;1945;Above_Average;CBlock;735;None;8741;1;113000
924;1941;Below_Average;BrkTil;672;None;12180;1;80000
1526;1957;Average;CBlock;1216;Stone;8562;1;144500
1296;1924;Average;BrkTil;1107;BrkFace;4853;1;104000
1647;1915;Above_Average;PConc;806;None;6858;1;128000
864;1914;Fair;BrkTil;864;None;8212;1;58500
1691;1924;Average;BrkTil;1026;None;5000;1;127000
856;1939;Above_Average;CBlock;856;None;7890;2;126000
2650;1967;Below_Average;Slab;0;None;7200;0;160000
1666;1931;Average;PConc;894;None;9839;0;100000
2447;1919;Above_Average;PConc;804;None;9638;1;169000
2133;1941;Good;BrkTil;1528;BrkFace;10452;1;257500
2177;1950;Average;CBlock;1032;BrkFace;15600;2;215000
2340;1941;Good;Stone;1152;None;9042;1;266500
1902;1959;Good;PConc;1902;None;17500;2;335000
1652;1994;Good;PConc;423;BrkFace;19645;2;203135
1034;1989;Very_Good;CBlock;982;None;3907;2;185000
1191;1989;Very_Good;CBlock;1191;None;3907;2;162500
1801;1959;Good;CBlock;1501;None;15602;2;289000
1154;1922;Below_Average;BrkTil;796;None;5436;1;125500
540;1941;Poor;BrkTil;480;None;8154;1;82000
1107;1921;Above_Average;BrkTil;629;None;9140;1;110000
1128;1920;Below_Average;CBlock;698;None;7500;2;68400
1178;1900;Below_Average;Stone;859;None;8712;1;102776
1044;1952;Average;CBlock;540;None;8712;2;55993
952;1896;Below_Average;CBlock;756;None;8712;1;50138
1646;2004;Very_Good;PConc;1594;Stone;3811;2;246000
1916;1998;Very_Good;PConc;1049;None;11050;3;254900
1285;1977;Above_Average;CBlock;1243;None;9620;2;190000
1560;2003;Good;PConc;1560;None;9196;2;201000
1034;1976;Above_Average;CBlock;1012;BrkFace;12328;3;169900
2048;1976;Above_Average;CBlock;1958;None;12760;2;170000
1687;1948;Average;CBlock;747;None;57200;2;160000
1346;2008;Good;PConc;1336;Stone;11896;3;220000
1214;2009;Good;PConc;1214;None;9803;2;179781
1444;2006;Average;PConc;384;None;9802;2;174000
1968;2009;Very_Good;PConc;774;BrkFace;12003;3;269500
1894;2002;Good;PConc;817;BrkFace;11316;2;214900
1908;2002;Very_Good;PConc;967;None;14191;2;202900
2018;2008;Excellent;PConc;2002;None;13214;3;378500
1264;1965;Average;CBlock;1068;None;15300;2;169000
1430;2004;Average;PConc;1430;None;10114;2;173500
1824;1971;Above_Average;CBlock;912;None;9400;0;139000
1344;1999;Average;PConc;1344;None;11875;2;166500
1092;1973;Below_Average;CBlock;546;None;1974;1;83500
945;1973;Average;CBlock;945;None;2394;1;119500
1112;1976;Average;CBlock;536;None;2592;1;85000
1092;1970;Below_Average;CBlock;546;None;1476;0;76000
630;1972;Below_Average;CBlock;630;None;1491;0;75500
1092;1970;Below_Average;CBlock;546;None;1900;0;88250
1092;1972;Below_Average;CBlock;546;None;1890;1;85500
874;1971;Average;CBlock;864;None;6953;1;130000
1188;1962;Average;CBlock;1188;BrkFace;26142;1;157900
833;1984;Average;CBlock;833;None;12887;2;149900
2432;1985;Average;PConc;1216;None;7700;2;159000
1274;1991;Average;PConc;624;None;10475;2;136000
1479;1969;Average;CBlock;864;None;10544;1;161000
1803;1994;Very_Good;PConc;1679;None;9892;2;285000
1797;1993;Above_Average;PConc;1152;None;12961;2;231000
882;1956;Above_Average;CBlock;882;None;13008;1;124500
1434;1974;Above_Average;CBlock;1434;BrkFace;10200;2;157000
2704;1972;Very_Good;CBlock;1952;None;13860;2;345000
1608;1997;Above_Average;PConc;945;None;10179;2;189500
2283;2003;Very_Good;PConc;1008;BrkFace;11792;3;270000
1628;1996;Good;PConc;384;BrkFace;8400;2;189000
1746;2006;Excellent;PConc;1746;Stone;14892;3;377500
1474;1995;Good;PConc;384;BrkFace;8530;2;168500
2522;2004;Very_Good;PConc;2208;None;7296;2;375000
1659;2000;Very_Good;PConc;1501;None;5664;2;278000
1478;1998;Very_Good;PConc;1418;None;7380;2;240000
1734;1995;Very_Good;PConc;1587;None;8013;2;239500
1382;1998;Good;PConc;384;None;8923;2;177500
1718;1998;Good;PConc;832;BrkFace;10141;2;185000
1636;1998;Above_Average;PConc;952;None;7500;2;191000
1571;1993;Above_Average;PConc;799;None;7837;2;178000
1470;1993;Above_Average;PConc;680;BrkFace;9765;2;185000
1516;1994;Above_Average;PConc;707;None;8803;2;181316
1190;1993;Above_Average;PConc;1181;BrkFace;7250;2;166000
1593;1992;Above_Average;PConc;808;None;9636;2;178000
1481;1994;Above_Average;PConc;702;None;8125;2;174000
1167;1992;Above_Average;PConc;1158;BrkFace;9248;2;173000
1983;1999;Good;PConc;978;None;10762;2;225000
1442;1990;Good;PConc;1424;None;11851;2;180500
1360;1984;Very_Good;CBlock;1220;None;5814;2;187500
2234;2008;Excellent;PConc;2216;Stone;17423;3;501837
2046;2008;Very_Good;PConc;2046;Stone;11844;3;372500
1530;2005;Good;PConc;1530;Stone;16158;2;260000
1934;1977;Average;PConc;1122;BrkFace;11900;2;185000
2353;1980;Good;CBlock;845;BrkFace;13005;2;260000
1586;1979;Above_Average;CBlock;1362;None;17043;2;181000
1411;1977;Good;CBlock;1386;BrkFace;11900;2;82500
1602;1977;Above_Average;CBlock;1602;Stone;16635;2;215000
2050;1978;Good;CBlock;832;BrkFace;13250;2;154000
1671;1978;Above_Average;PConc;1427;BrkFace;10928;2;200000
2673;1980;Good;CBlock;1043;BrkFace;12388;2;249000
1472;1980;Good;CBlock;1372;BrkFace;14115;2;187500
1707;1978;Above_Average;PConc;1140;BrkFace;11088;2;184000
2524;1981;Very_Good;PConc;2524;None;9600;2;278000
1601;1978;Good;CBlock;1271;BrkFace;11880;2;157000
1370;1976;Good;CBlock;1090;BrkFace;10400;2;152000
1868;1976;Average;CBlock;780;BrkFace;10304;2;197500
1884;2003;Good;PConc;926;None;7000;2;240900
1935;2009;Very_Good;PConc;832;Stone;8004;2;263435
1874;2000;Very_Good;PConc;1058;None;7500;2;220000
1811;2002;Very_Good;PConc;972;None;8470;2;235000
1621;1975;Average;CBlock;1621;BrkFace;9373;2;213000
1116;1974;Above_Average;CBlock;1116;BrkFace;10140;2;167900
1193;1975;Good;CBlock;1176;None;11050;2;158000
1350;1974;Above_Average;CBlock;1064;BrkFace;10140;2;165000
2119;1972;Above_Average;CBlock;689;BrkFace;10448;2;158000
1792;1974;Average;CBlock;896;None;9000;0;136000
1002;1970;Average;CBlock;1002;BrkFace;8750;2;148500
1026;1969;Above_Average;CBlock;1026;None;7930;2;156000
1180;1970;Average;CBlock;1180;None;7830;2;128000
1050;1971;Average;CBlock;1043;BrkFace;8510;1;143000
864;1970;Below_Average;CBlock;864;None;7038;2;76500
864;1970;Below_Average;CBlock;864;None;6960;2;120500
864;1970;Below_Average;CBlock;864;None;8120;2;124500
864;1971;Below_Average;CBlock;864;None;10500;2;97000
864;1971;Below_Average;CBlock;864;None;9000;2;130000
987;1973;Above_Average;CBlock;483;BrkFace;1680;1;111000
1365;1970;Average;CBlock;765;None;2368;2;125000
1302;1971;Average;CBlock;630;BrkFace;1680;1;112000
987;1972;Above_Average;CBlock;483;BrkFace;1680;1;97000
987;1972;Above_Average;CBlock;483;BrkFace;1680;1;118000
1302;1972;Average;CBlock;630;BrkFace;1680;1;119500
958;1976;Above_Average;CBlock;958;None;4928;2;143750
1548;1976;Above_Average;CBlock;804;None;2308;2;146000
1456;1976;Above_Average;CBlock;855;None;2280;2;148500
1055;1975;Good;CBlock;1057;None;2280;2;123000
1322;1974;Above_Average;CBlock;855;None;2308;2;147000
1456;1977;Above_Average;CBlock;855;None;2349;2;137900
1548;1978;Above_Average;CBlock;804;None;2364;2;147000
1441;1978;Above_Average;CBlock;855;None;2289;2;148500
1456;1978;Above_Average;CBlock;855;None;2364;2;138000
836;1976;Good;CBlock;836;None;2104;1;128500
892;1967;Average;CBlock;892;BrkFace;7150;1;100000
1120;1966;Average;PConc;864;BrkFace;10710;2;148800
1718;2006;Very_Excellent;PConc;1700;Stone;12456;3;337500
2772;2007;Excellent;PConc;1776;Stone;14257;3;462000
3140;2008;Excellent;PConc;1926;Stone;13518;3;485000
2402;2008;Very_Excellent;PConc;3094;Stone;15431;3;555000
1652;2006;Excellent;PConc;1652;Stone;13173;2;325000
1600;2007;Very_Good;PConc;1566;Stone;14230;3;256300
2042;2008;Very_Good;PConc;2042;BrkFace;12704;3;253293
2690;2009;Excellent;PConc;1365;None;12350;3;398800
2184;2008;Excellent;PConc;1104;Stone;11308;3;335000
2020;2008;Excellent;PConc;2020;Stone;12350;3;404000
2020;2009;Very_Excellent;CBlock;2006;BrkFace;12220;3;402861
2296;2008;Very_Excellent;PConc;1722;Stone;13478;3;451950
2674;2007;Very_Excellent;PConc;2630;Stone;13693;3;610000
2822;2008;Excellent;PConc;1734;Stone;13891;3;582933
1736;2008;Excellent;PConc;1736;Stone;11578;3;360000
1782;2004;Very_Good;PConc;1782;BrkFace;16870;3;296000
2520;2007;Very_Good;PConc;1508;Stone;23303;3;409900
1717;2006;Very_Good;PConc;1709;Stone;11146;3;255500
1743;2008;Excellent;PConc;1739;Stone;10367;3;335000
1713;2004;Very_Good;PConc;1713;BrkFace;9591;3;274900
1531;2006;Excellent;PConc;1504;Stone;10872;3;300000
1808;2008;Excellent;PConc;1774;None;13514;3;324000
2224;2004;Excellent;PConc;1462;Stone;8834;3;350000
1836;2004;Very_Good;PConc;1836;Stone;11362;3;280000
1629;2003;Very_Good;PConc;3206;BrkFace;10655;3;284000
1760;2003;Good;PConc;1760;BrkFace;12878;2;269500
1502;2009;Good;PConc;1502;Stone;9541;2;233170
2392;2003;Very_Excellent;PConc;2392;BrkFace;13472;3;386250
2452;2003;Excellent;PConc;2452;BrkFace;15274;3;445000
2400;2003;Very_Good;PConc;1082;Stone;13262;3;290000
1606;2006;Very_Good;PConc;1598;Stone;9658;3;255900
1358;2005;Above_Average;PConc;1358;Stone;6904;2;213000
1306;2005;Above_Average;PConc;1306;Stone;5381;2;196000
1306;2005;Above_Average;PConc;1306;Stone;5122;2;184500
1358;2007;Good;PConc;1350;Stone;10307;2;212500
1314;2007;Good;PConc;1314;Stone;5001;2;230000
2492;2004;Very_Excellent;PConc;2492;Stone;14836;3;552000
2200;2003;Very_Good;PConc;2200;BrkFace;15262;3;382500
1884;2008;Excellent;PConc;1884;BrkFace;7390;2;320000
1456;2008;Excellent;PConc;1451;BrkFace;6472;2;248500
1712;2002;Very_Good;PConc;1712;BrkFace;16770;3;286500
1324;2006;Very_Good;PConc;1324;BrkFace;6240;2;254000
1405;2003;Good;PConc;1405;Stone;3480;2;173000
1626;2003;Good;PConc;764;Stone;2268;2;173000
1456;2005;Good;PConc;728;None;10928;2;184000
1490;2005;Above_Average;PConc;745;None;8918;2;167800
1484;2005;Above_Average;PConc;742;None;12589;2;174000
1560;2005;Above_Average;PConc;684;None;11911;2;174000
1555;2007;Good;PConc;1373;BrkFace;3684;3;174000
1569;2007;Good;PConc;1386;BrkFace;3635;3;175900
1555;2005;Good;PConc;1373;BrkFace;3182;2;192500
1504;2005;Good;PConc;1346;BrkFace;3182;2;181000
1220;2005;Good;PConc;1220;BrkFace;3182;2;180000
1145;2005;Good;PConc;1145;BrkFace;3182;2;160200
1432;2004;Good;PConc;716;None;7795;2;188500
2267;2002;Above_Average;PConc;1010;None;8068;2;200000
